Algoritmo;Archivos;Cantidad;Patrones;Tiempo_Promedio(ns);Varianza(ns)
Boyer-Moore;Proteins;40;patrones1_100_Existente;23530119000;0 
FM-Index;Proteins;10;patrones1_100_Existente;4162000;0 
KMP;Proteins;10;patrones1_100_Existente;27470333000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;61270694000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;5309740000;0 
FM-Index;Proteins;20;patrones1_100_Existente;8736000;0 
KMP;Proteins;20;patrones1_100_Existente;55410218000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;119238456000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;11603373000;0 
FM-Index;Proteins;30;patrones1_100_Existente;59285000;0 
KMP;Proteins;30;patrones1_100_Existente;83220983000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;176857693000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;17345365000;0 
FM-Index;Proteins;40;patrones1_100_Existente;141972000;0 
KMP;Proteins;40;patrones1_100_Existente;110333983000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;235440848000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;24192524000;0 
